STATE_NAME,STATE_ABBR,MI06,MI07,MI08,MI09,MI10,MI11,MI12,MI13,MI14,MI15,MI16,GI06,GI07,GI08,GI09,GI10,GI11,GI12,GI13,GI14,GI15,GI16,BREW06,BREW07,BREW08,BREW09,BREW10,BREW11,BREW12,BREW13,BREW14,BREW15,BREW16
Oregon,OR,46230,48730,50169,48457,46560,46816,49161,50251,51075,54148,57532,0.444,0.442,0.447,0.443,0.449,0.4586,0.4565,0.46,0.4624,0.4622,0.4583,7,6,9,10,10,10,13,17,18,21,26
Pennsylvania,PA,46259,48576,50713,49520,49288,50228,51230,52007,53234,55702,56907,0.455,0.46,0.457,0.46,0.461,0.4611,0.4642,0.4696,0.4686,0.4685,0.4689,95,96,108,108,120,148,180,220,244,281,304
Rhode Island,RI,51814,53568,55701,54119,52254,53636,54554,55902,54891,58073,60596,0.442,0.457,0.46,0.457,0.467,0.4674,0.4647,0.4769,0.4827,0.4732,0.4781,81,94,97,96,118,146,162,183,233,278,333
South Carolina,SC,41100,43329,44625,42442,42018,42367,43107,44163,45238,47238,49501,0.462,0.459,0.464,0.462,0.461,0.4648,0.4684,0.4665,0.4687,0.4698,0.4735,5,5,5,5,5,6,9,12,14,15,17
South Dakota,SD,42791,43424,46032,45043,45904,48321,48362,48947,50979,53017,54467,0.439,0.423,0.446,0.452,0.442,0.4324,0.4335,0.4427,0.4468,0.4436,0.4495,16,17,16,15,16,17,23,30,37,51,59
Tennessee,TN,40315,42367,43614,41725,41461,41693,42764,44297,44361,47275,48547,0.468,0.471,0.471,0.467,0.468,0.4756,0.4732,0.4783,0.4811,0.4789,0.479,7,8,7,7,8,9,12,12,15,19,21
Texas,TX,44922,47548,50043,48259,48615,49392,50740,51704,53035,55653,56565,0.474,0.473,0.474,0.474,0.469,0.4771,0.4767,0.4807,0.4827,0.4823,0.48,19,22,23,23,26,31,45,51,69,88,101
Utah,UT,51309,55109,56633,55117,54744,55869,57049,59770,60922,62912,65977,0.41,0.409,0.411,0.414,0.419,0.4249,0.4244,0.4259,0.4283,0.4252,0.4263,47,45,47,47,59,84,107,128,170,220,266
Vermont,VT,47665,49907,52104,51618,49406,52776,52977,52578,54166,56990,57677,0.42,0.428,0.434,0.428,0.444,0.4308,0.4392,0.4537,0.4406,0.4452,0.4539,17,15,15,18,18,18,22,24,27,29,34
Virginia,VA,56277,59562,61233,59330,60674,61882,61741,62666,64902,66262,68114,0.456,0.456,0.46,0.456,0.459,0.4632,0.4661,0.4672,0.4658,0.4681,0.4705,35,35,43,42,44,54,67,85,117,155,209
Washington,WA,52583,55591,58078,56548,55631,56835,57573,58405,61366,64129,67106,0.443,0.444,0.442,0.439,0.441,0.4449,0.4498,0.4572,0.4542,0.4561,0.4591,24,22,24,27,32,34,39,45,51,66,73
West Virginia,WV,35059,37060,37989,37435,38218,38482,40196,41253,41059,42019,43385,0.447,0.454,0.453,0.463,0.451,0.4721,0.4638,0.4647,0.4546,0.4581,0.4711,108,110,121,138,157,188,230,266,314,383,424
Wisconsin,WI,48772,50578,52094,49993,49001,50395,51059,51467,52622,55638,56811,0.424,0.428,0.426,0.432,0.43,0.437,0.4401,0.4446,0.4397,0.441,0.4498,103,105,110,108,119,126,146,146,168,189,217
Wyoming,WY,47423,51731,53207,52664,53512,56322,54901,58752,57055,60214,59882,0.413,0.437,0.441,0.415,0.423,0.4081,0.4166,0.4183,0.427,0.4374,0.436,6,6,6,8,8,8,8,9,13,17,24
