STATE_NAME,STATE_ABBR,MI06,MI07,MI08,MI09,MI10,MI11,MI12,MI13,MI14,MI15,MI16,GI06,GI07,GI08,GI09,GI10,GI11,GI12,GI13,GI14,GI15,GI16
Ohio,OH,"44,532.00","46,597.00","47,988.00","45,395.00","45,090.00","45,749.00","46,829.00","48,081.00","49,308.00","51,075.00","52,334.00",0.449,0.448,0.45,0.453,0.452,0.4594,0.4615,0.4652,0.4637,0.4637,0.468
Oklahoma,OK,"38,770.00","41,567.00","42,822.00","41,664.00","42,072.00","43,225.00","44,312.00","45,690.00","47,529.00","48,568.00","49,176.00",0.46,0.463,0.458,0.46,0.454,0.4613,0.4643,0.4619,0.466,0.4702,0.4645
Oregon,OR,"46,230.00","48,730.00","50,169.00","48,457.00","46,560.00","46,816.00","49,161.00","50,251.00","51,075.00","54,148.00","57,532.00",0.444,0.442,0.447,0.443,0.449,0.4586,0.4565,0.46,0.4624,0.4622,0.4583
Pennsylvania,PA,"46,259.00","48,576.00","50,713.00","49,520.00","49,288.00","50,228.00","51,230.00","52,007.00","53,234.00","55,702.00","56,907.00",0.455,0.46,0.457,0.46,0.461,0.4611,0.4642,0.4696,0.4686,0.4685,0.4689
Rhode Island,RI,"51,814.00","53,568.00","55,701.00","54,119.00","52,254.00","53,636.00","54,554.00","55,902.00","54,891.00","58,073.00","60,596.00",0.442,0.457,0.46,0.457,0.467,0.4674,0.4647,0.4769,0.4827,0.4732,0.4781
South Carolina,SC,"41,100.00","43,329.00","44,625.00","42,442.00","42,018.00","42,367.00","43,107.00","44,163.00","45,238.00","47,238.00","49,501.00",0.462,0.459,0.464,0.462,0.461,0.4648,0.4684,0.4665,0.4687,0.4698,0.4735
South Dakota,SD,"42,791.00","43,424.00","46,032.00","45,043.00","45,904.00","48,321.00","48,362.00","48,947.00","50,979.00","53,017.00","54,467.00",0.439,0.423,0.446,0.452,0.442,0.4324,0.4335,0.4427,0.4468,0.4436,0.4495
Tennessee,TN,"40,315.00","42,367.00","43,614.00","41,725.00","41,461.00","41,693.00","42,764.00","44,297.00","44,361.00","47,275.00","48,547.00",0.468,0.471,0.471,0.467,0.468,0.4756,0.4732,0.4783,0.4811,0.4789,0.479
Texas,TX,"44,922.00","47,548.00","50,043.00","48,259.00","48,615.00","49,392.00","50,740.00","51,704.00","53,035.00","55,653.00","56,565.00",0.474,0.473,0.474,0.474,0.469,0.4771,0.4767,0.4807,0.4827,0.4823,0.48
Utah,UT,"51,309.00","55,109.00","56,633.00","55,117.00","54,744.00","55,869.00","57,049.00","59,770.00","60,922.00","62,912.00","65,977.00",0.41,0.409,0.411,0.414,0.419,0.4249,0.4244,0.4259,0.4283,0.4252,0.4263
Vermont,VT,"47,665.00","49,907.00","52,104.00","51,618.00","49,406.00","52,776.00","52,977.00","52,578.00","54,166.00","56,990.00","57,677.00",0.42,0.428,0.434,0.428,0.444,0.4308,0.4392,0.4537,0.4406,0.4452,0.4539
Virginia,VA,"56,277.00","59,562.00","61,233.00","59,330.00","60,674.00","61,882.00","61,741.00","62,666.00","64,902.00","66,262.00","68,114.00",0.456,0.456,0.46,0.456,0.459,0.4632,0.4661,0.4672,0.4658,0.4681,0.4705
Washington,WA,"52,583.00","55,591.00","58,078.00","56,548.00","55,631.00","56,835.00","57,573.00","58,405.00","61,366.00","64,129.00","67,106.00",0.443,0.444,0.442,0.439,0.441,0.4449,0.4498,0.4572,0.4542,0.4561,0.4591
West Virginia,WV,"35,059.00","37,060.00","37,989.00","37,435.00","38,218.00","38,482.00","40,196.00","41,253.00","41,059.00","42,019.00","43,385.00",0.447,0.454,0.453,0.463,0.451,0.4721,0.4638,0.4647,0.4546,0.4581,0.4711
Wisconsin,WI,"48,772.00","50,578.00","52,094.00","49,993.00","49,001.00","50,395.00","51,059.00","51,467.00","52,622.00","55,638.00","56,811.00",0.424,0.428,0.426,0.432,0.43,0.437,0.4401,0.4446,0.4397,0.441,0.4498
Wyoming,WY,"47,423.00","51,731.00","53,207.00","52,664.00","53,512.00","56,322.00","54,901.00","58,752.00","57,055.00","60,214.00","59,882.00",0.413,0.437,0.441,0.415,0.423,0.4081,0.4166,0.4183,0.427,0.4374,0.436
